age,open,extra,neuro,gender,state,bkg_amt
19,3.3497115874569237,NA,6.021063187060674,F,A,199.42398120471447
48,5.6943364340905145,NA,5.009873988376082,M,NA,183.6644842168678
47,3.1598141095242536,3.8318984588025216,NA,F,A,296.4267507877758
54,4.425327068915799,7.085425254655833,NA,F,NA,NA
53,3.8977394168918336,7.769087196755354,NA,F,NA,NA
43,6.697291279991172,4.6634714703047795,NA,F,NA,276.28297661179033
30,7.6070260050832985,4.4067093208514345,NA,F,NA,277.95216478895037
24,3.9427333673646645,NA,5.125699755375926,F,B,172.77607625010862
38,6.525901318305098,5.434493170199763,5.128800208575012,M,NA,269.4018454367427
27,8.580620863942189,5.294729253638764,NA,F,NA,174.449168260932
43,6.031306865134788,3.6260291042184853,5.208435004492902,F,B,193.01468105742836
33,6.019912653198919,4.717162313870827,8.794312813861048,M,NA,255.05016657057783
19,6.755069510360874,9.417441721047991,NA,F,NA,416.30185108038717
53,4.389681239099508,6.815819583739021,NA,M,NA,NA
26,3.0027579453146918,NA,6.156450382002637,M,B,152.21722659937217
55,6.559434886362478,NA,NA,F,B,NA
23,4.595088341002691,1.792414251847163,6.853192815836694,M,B,177.46229100137975
13,5.11538530997156,NA,NA,F,B,156.44512961165614
24,3.4310921302279564,4.550114849633276,NA,M,A,289.71968463363584
19,0.3904429051175793,6.522958774346424,6.860693959108723,M,NA,134.05492679874098
25,6.4116903708722095,NA,NA,F,NA,338.7228956359874
21,5.5705405777295764,5.8183452812089005,NA,M,NA,208.73041950947348
24,4.629561661892926,5.254238844950321,6.0374260210112425,M,A,266.44303519792186
21,1.9342864523887244,2.2820821094205486,8.143878085480694,F,NA,125.3732978335995
23,5.066006553482401,4.8733645149549405,NA,M,A,289.4314270776229
51,3.6202690451138464,3.2925271125523166,5.4316639348498645,M,NA,NA
32,3.6792579850343183,NA,NA,F,C,142.6574842848188
47,6.777721277640559,6.448176930599249,7.070013848496852,F,A,74.97668939657521
41,6.757217893194665,NA,6.1964980228530475,M,NA,185.30750909973852
19,5.733969544824987,NA,NA,F,NA,340.80927068119655
30,4.389966500345066,6.896316572554312,6.455563543498425,F,B,290.1986593277352
