age,gender,period,seasonality,month,booked,oneclick
47,male,33,6.492169934979586e-8,10,0,1
49,male,33,6.492169934979586e-8,10,0,1
37,male,33,6.492169934979586e-8,10,0,0
44,male,33,6.492169934979586e-8,10,0,1
45,male,33,6.492169934979586e-8,10,0,1
43,male,33,6.492169934979586e-8,10,0,0
49,male,33,6.492169934979586e-8,10,0,1
37,female,33,6.492169934979586e-8,10,0,1
49,female,33,6.492169934979586e-8,10,0,0
39,female,33,6.492169934979586e-8,10,0,0
36,male,33,6.492169934979586e-8,10,0,1
45,male,33,6.492169934979586e-8,10,0,1
39,female,33,6.492169934979586e-8,10,0,1
50,female,33,6.492169934979586e-8,10,0,0
42,male,33,6.492169934979586e-8,10,0,1
37,female,33,6.492169934979586e-8,10,0,0
49,male,33,6.492169934979586e-8,10,0,1
38,male,33,6.492169934979586e-8,10,0,1
42,male,33,6.492169934979586e-8,10,0,0
39,male,33,6.492169934979586e-8,10,0,1
39,male,33,6.492169934979586e-8,10,0,1
42,male,33,6.492169934979586e-8,10,0,0
47,male,33,6.492169934979586e-8,10,0,0
45,male,33,6.492169934979586e-8,10,0,1
45,male,33,6.492169934979586e-8,10,0,0
42,male,33,6.492169934979586e-8,10,0,1
39,male,33,6.492169934979586e-8,10,0,1
50,female,33,6.492169934979586e-8,10,0,1
35,female,33,6.492169934979586e-8,10,0,0
47,female,33,6.492169934979586e-8,10,0,1
39,male,33,6.492169934979586e-8,10,0,1
50,female,33,6.492169934979586e-8,10,0,1
49,male,33,6.492169934979586e-8,10,0,0
46,male,33,6.492169934979586e-8,10,0,1
50,female,33,6.492169934979586e-8,10,0,0
39,male,33,6.492169934979586e-8,10,0,1
44,female,33,6.492169934979586e-8,10,0,1
44,male,33,6.492169934979586e-8,10,0,1
41,male,33,6.492169934979586e-8,10,0,1
35,female,33,6.492169934979586e-8,10,0,0
44,male,33,6.492169934979586e-8,10,0,0
35,male,33,6.492169934979586e-8,10,0,1
40,male,33,6.492169934979586e-8,10,0,1
35,male,33,6.492169934979586e-8,10,0,1
51,male,33,6.492169934979586e-8,10,0,1
43,female,33,6.492169934979586e-8,10,0,0
38,male,33,6.492169934979586e-8,10,0,1
31,female,33,6.492169934979586e-8,10,0,1
41,male,33,6.492169934979586e-8,10,0,0
48,female,33,6.492169934979586e-8,10,0,0
45,male,33,6.492169934979586e-8,10,0,0
51,male,33,6.492169934979586e-8,10,0,1
44,female,33,6.492169934979586e-8,10,0,0
47,male,33,6.492169934979586e-8,10,0,0
37,female,33,6.492169934979586e-8,10,0,1
39,male,33,6.492169934979586e-8,10,0,0
42,male,33,6.492169934979586e-8,10,0,1
44,male,33,6.492169934979586e-8,10,0,1
36,female,33,6.492169934979586e-8,10,0,0
41,male,33,6.492169934979586e-8,10,0,0
44,female,33,6.492169934979586e-8,10,0,0
45,male,33,6.492169934979586e-8,10,0,0
53,male,33,6.492169934979586e-8,10,0,1
48,female,33,6.492169934979586e-8,10,0,1
44,male,33,6.492169934979586e-8,10,0,0
38,female,33,6.492169934979586e-8,10,0,0
46,male,33,6.492169934979586e-8,10,0,0
29,male,33,6.492169934979586e-8,10,0,0
45,female,33,6.492169934979586e-8,10,0,1
47,male,33,6.492169934979586e-8,10,0,1
