call,education,yearsexp,race,sex,college,eoe,wanted
0,4,6,w,f,1,1,supervisor
0,3,6,w,f,0,1,supervisor
0,4,6,b,f,1,1,supervisor
0,3,6,b,f,0,1,supervisor
0,3,22,w,f,0,1,secretary
0,4,6,w,m,1,1,salesrep
0,4,5,w,f,1,1,salesrep
0,3,21,b,f,0,1,secretary
0,4,3,b,f,1,1,salesrep
0,4,6,b,m,1,1,salesrep
0,4,8,b,f,1,1,secretary
0,4,8,w,f,1,1,secretary
0,4,4,b,f,1,1,secretary
0,4,4,w,f,1,1,secretary
0,4,5,b,f,1,1,salesrep
0,1,4,w,m,0,1,salesrep
0,4,5,w,m,1,1,salesrep
0,4,6,b,f,1,1,salesrep
0,4,6,w,f,1,0,retailsales
0,2,8,b,f,0,0,retailsales
0,4,4,b,m,1,0,retailsales
0,4,3,w,m,1,0,retailsales
0,2,2,w,f,0,0,manager
0,4,7,w,f,1,0,secretary
0,4,3,w,m,1,0,manager
0,4,6,b,f,1,0,secretary
0,1,4,b,f,0,0,manager
0,3,6,w,f,0,0,secretary
0,3,7,b,f,0,0,secretary
0,4,2,b,f,1,0,manager
0,2,6,w,f,0,0,secretary
0,3,6,b,f,0,0,secretary
0,3,9,w,f,0,0,secretary
0,4,6,b,f,1,0,secretary
0,2,4,w,m,0,0,manager
0,3,5,w,f,0,1,offsupport
0,4,4,b,f,1,1,offsupport
0,4,3,b,f,1,0,manager
0,3,4,b,f,0,1,offsupport
0,4,5,w,f,1,0,manager
0,4,5,w,f,1,1,offsupport
0,4,5,b,m,1,0,manager
0,4,7,w,f,1,0,manager
0,4,6,w,f,1,0,manager
0,4,5,b,f,1,0,manager
0,3,7,b,f,0,0,manager
0,0,4,w,m,0,0,manager
0,4,5,b,f,1,0,manager
0,4,4,w,f,1,0,secretary
0,4,5,b,f,1,0,secretary
0,4,6,b,f,1,0,secretary
0,4,6,w,f,1,0,secretary
0,4,13,w,f,1,0,secretary
0,4,19,b,f,1,0,secretary
0,2,5,w,m,0,0,manager
0,4,7,b,f,1,0,secretary
0,4,21,w,f,1,0,secretary
0,2,5,b,m,0,0,manager
0,4,4,w,f,1,1,secretary
0,4,5,b,f,1,1,secretary
0,4,6,b,f,1,1,secretary
0,3,5,w,f,0,1,secretary
0,0,5,w,f,0,0,manager
0,4,6,w,f,1,1,secretary
0,4,6,b,f,1,0,manager
0,4,6,b,f,1,1,secretary
0,4,6,b,f,1,1,secretary
0,3,4,w,f,0,1,secretary
0,4,8,b,f,1,0,offsupport
0,4,5,w,f,1,0,offsupport
0,4,5,w,m,1,1,retailsales
0,1,5,b,m,0,1,retailsales
0,3,6,b,f,0,0,offsupport
0,4,5,w,f,1,1,retailsales
0,3,3,w,f,0,0,offsupport
0,4,4,b,m,1,1,retailsales
0,4,12,w,f,1,1,secretary
0,3,11,b,f,0,1,secretary
0,4,9,b,f,1,1,secretary
0,4,10,w,f,1,1,secretary
0,4,5,b,m,1,0,manager
0,4,4,w,m,1,0,manager
0,4,4,w,m,1,0,manager
0,4,3,b,m,1,0,manager
0,2,4,b,m,0,0,manager
1,2,7,w,m,0,0,manager
0,1,3,w,m,0,0,manager
0,4,3,b,f,1,1,secretary
0,4,2,w,f,1,1,secretary
0,4,4,w,f,1,1,secretary
0,4,4,b,f,1,0,manager
0,4,4,w,m,1,0,manager
0,4,4,b,f,1,1,secretary
0,4,2,b,m,1,0,manager
0,4,10,b,f,1,1,secretary
1,2,4,w,m,0,0,manager
0,2,5,b,m,0,0,manager
0,4,11,w,f,1,1,secretary
0,4,3,b,f,1,1,secretary
0,4,2,w,f,1,1,secretary
0,4,7,b,f,1,1,supervisor
0,4,7,w,f,1,1,supervisor
0,4,4,b,m,1,0,manager
0,4,4,w,m,1,0,manager
0,4,4,w,f,1,0,secretary
1,4,6,w,f,1,1,manager
0,4,6,b,f,1,0,secretary
1,4,6,b,f,1,1,manager
0,4,6,b,f,1,0,manager
0,4,6,w,f,1,0,manager
0,4,6,w,m,1,1,manager
0,4,4,b,f,1,1,manager
0,2,23,w,f,0,1,secretary
0,4,5,b,f,1,1,secretary
0,3,4,w,f,0,1,secretary
0,4,4,b,f,1,1,secretary
0,3,5,w,f,0,1,supervisor
0,3,5,b,f,0,1,supervisor
0,3,5,b,f,0,1,supervisor
0,2,1,w,f,0,1,manager
0,4,5,b,f,1,1,manager
0,4,5,w,f,1,1,supervisor
0,4,5,w,f,1,0,retailsales
0,4,8,w,f,1,0,supervisor
0,2,4,b,f,0,0,retailsales
0,4,9,b,f,1,0,supervisor
1,4,9,b,f,1,0,supervisor
1,3,5,w,m,0,0,supervisor
0,4,6,b,f,1,1,manager
0,3,8,w,f,0,1,supervisor
0,4,9,w,f,1,1,supervisor
0,4,9,b,f,1,1,supervisor
0,4,5,w,m,1,1,manager
0,4,10,b,f,1,1,supervisor
0,4,8,w,f,1,0,secretary
0,2,6,w,m,0,0,manager
0,4,5,b,f,1,0,secretary
0,2,4,b,m,0,0,manager
0,3,6,b,f,0,1,supervisor
0,3,4,w,f,0,1,supervisor
0,2,6,w,f,0,1,supervisor
0,0,4,b,f,0,0,manager
0,3,5,b,f,0,1,supervisor
0,4,4,w,f,1,0,manager
0,2,6,b,m,0,0,manager
0,2,4,w,f,0,0,manager
0,2,7,w,f,0,1,secretary
0,3,9,w,f,0,1,secretary
0,4,7,b,f,1,1,secretary
0,3,8,b,f,0,1,secretary
0,4,6,w,m,1,0,manager
0,4,9,b,m,1,0,manager
0,3,12,w,f,0,0,secretary
0,2,6,b,f,0,0,secretary
0,4,5,b,f,1,0,secretary
0,4,7,w,f,1,0,secretary
0,4,14,b,f,1,0,retailsales
0,4,12,w,f,1,0,manager
0,4,7,b,f,1,0,manager
0,3,3,b,m,0,0,retailsales
0,2,1,w,f,0,0,retailsales
0,4,5,b,f,1,0,manager
0,4,21,w,f,1,0,manager
0,4,2,w,f,1,0,retailsales
0,4,7,w,f,1,0,offsupport
1,4,10,w,m,1,1,salesrep
0,4,10,b,m,1,1,salesrep
0,3,7,b,f,0,0,offsupport
1,4,6,w,m,1,1,salesrep
0,4,6,w,f,1,0,offsupport
0,2,6,b,f,0,0,offsupport
1,3,11,b,f,0,1,salesrep
0,4,14,b,f,1,1,manager
0,4,8,w,f,1,1,manager
0,4,18,w,f,1,1,manager
0,4,7,w,f,1,0,retailsales
0,2,8,w,m,0,0,retailsales
0,4,26,w,m,1,0,manager
0,4,18,w,m,1,1,manager
0,4,6,w,m,1,0,retailsales
0,4,6,b,f,1,0,retailsales
0,4,26,w,m,1,1,manager
0,4,18,w,m,1,1,manager
0,4,18,w,f,1,1,manager
0,4,8,b,f,1,1,manager
0,4,10,b,f,1,0,retailsales
0,4,8,b,f,1,1,manager
0,4,14,b,f,1,0,manager
0,4,26,b,f,1,1,manager
0,4,8,b,f,1,0,manager
0,4,14,b,f,1,1,manager
0,4,18,w,f,1,0,manager
0,4,8,w,m,1,1,manager
0,4,14,b,m,1,1,manager
0,4,26,w,f,1,1,manager
0,4,2,w,f,1,0,retailsales
0,4,26,b,f,1,1,manager
0,4,14,b,f,1,1,manager
0,4,8,b,f,1,0,retailsales
