gave,amount,group,freq,gender,state_pol,county_pol,dormant
0,0,ctrl,2,male,blue,blue,1
0,0,ctrl,2,male,blue,red,0
0,0,treat1,3,male,blue,blue,0
0,0,treat1,15,male,blue,red,0
0,0,treat1,42,female,red,blue,1
0,0,ctrl,20,male,red,red,0
0,0,treat1,12,female,red,red,0
0,0,treat2,13,male,blue,blue,0
0,0,treat2,28,male,red,red,0
0,0,treat1,4,male,blue,blue,1
0,0,treat1,1,male,blue,red,1
0,0,treat2,1,male,blue,red,1
0,0,ctrl,2,male,red,red,1
0,0,treat2,80,male,red,red,1
0,0,ctrl,3,male,red,red,0
0,0,treat1,22,female,blue,blue,1
0,0,treat3,1,male,red,red,0
0,0,treat3,1,male,red,red,1
0,0,treat3,5,male,red,red,1
0,0,treat2,1,male,blue,red,1
0,0,treat3,8,male,blue,blue,1
0,0,treat3,3,female,blue,red,0
0,0,ctrl,6,male,blue,blue,1
0,0,treat2,2,male,red,red,0
0,0,ctrl,12,male,blue,blue,0
0,0,treat1,4,male,blue,red,1
0,0,treat3,3,female,blue,red,0
0,0,treat2,1,male,blue,red,0
0,0,treat3,1,male,red,red,1
0,0,treat1,12,male,blue,red,0
0,0,treat1,1,male,blue,blue,1
0,0,treat1,2,male,blue,red,1
0,0,treat2,9,male,blue,blue,0
0,0,treat3,2,female,blue,blue,1
0,0,treat2,22,male,blue,blue,0
0,0,treat2,4,male,red,red,0
0,0,treat2,2,male,blue,red,1
0,0,ctrl,4,male,red,red,1
0,0,treat2,1,male,blue,blue,1
0,0,treat1,1,female,blue,blue,1
0,0,treat1,3,male,blue,blue,1
0,0,treat2,2,male,red,blue,0
0,0,treat1,22,male,blue,blue,0
0,0,treat3,1,female,red,blue,0
0,0,treat2,10,male,red,blue,0
0,0,ctrl,6,female,red,blue,0
0,0,treat2,5,female,blue,red,1
0,0,treat2,2,male,red,red,0
0,0,treat2,1,male,blue,red,0
0,0,treat1,9,male,blue,blue,0
0,0,ctrl,1,female,red,red,0
0,0,ctrl,3,male,red,blue,1
0,0,treat2,3,female,blue,blue,1
0,0,ctrl,1,male,red,red,1
0,0,treat2,4,male,blue,red,0
0,0,treat2,5,male,blue,blue,0
0,0,treat2,8,female,blue,red,1
0,0,treat2,1,male,blue,red,1
0,0,treat2,5,male,red,red,0
0,0,treat3,52,male,blue,blue,1
0,0,ctrl,23,female,red,red,0
0,0,treat1,1,male,red,red,1
0,0,ctrl,4,female,red,blue,1
0,0,treat3,6,male,blue,red,0
0,0,ctrl,6,male,red,blue,1
0,0,treat1,1,male,blue,blue,1
0,0,treat3,3,female,blue,red,0
0,0,treat2,6,female,blue,blue,1
0,0,treat2,1,female,blue,blue,0
0,0,treat3,50,female,blue,red,1
0,0,treat3,1,male,blue,blue,1
0,0,treat1,9,female,red,red,1
0,0,treat1,12,female,blue,blue,1
0,0,treat2,1,male,red,blue,1
0,0,treat3,7,female,red,red,1
0,0,ctrl,14,female,blue,red,1
0,0,treat1,6,male,red,red,0
0,0,ctrl,12,male,red,red,0
0,0,treat3,9,male,red,red,1
0,0,treat3,10,male,blue,red,0
0,0,treat1,2,female,blue,red,0
0,0,ctrl,3,male,red,blue,1
0,0,treat2,6,male,red,red,1
0,0,treat3,4,female,red,blue,0
0,0,treat1,2,male,red,red,1
0,0,treat3,1,male,blue,blue,0
0,0,ctrl,2,female,blue,red,1
0,0,treat2,5,male,red,red,1
0,0,treat3,3,male,blue,blue,1
0,0,treat3,1,male,blue,red,0
0,0,ctrl,5,female,blue,blue,0
0,0,ctrl,2,male,red,blue,1
0,0,treat1,2,couple,blue,blue,1
0,0,treat3,14,male,blue,red,0
0,0,ctrl,12,female,red,red,0
0,0,ctrl,2,male,blue,red,1
0,0,treat3,12,male,blue,blue,0
0,0,treat2,24,male,blue,blue,0
0,0,treat3,7,couple,blue,red,0
0,0,ctrl,1,male,blue,red,0
0,0,treat1,8,male,blue,blue,0
0,0,treat1,4,female,blue,blue,1
0,0,ctrl,11,female,red,red,1
0,0,treat2,1,female,blue,blue,1
0,0,ctrl,9,female,blue,blue,0
0,0,ctrl,7,male,blue,blue,1
0,0,ctrl,2,female,blue,red,0
0,0,treat3,7,male,blue,blue,0
0,0,ctrl,16,male,blue,blue,0
0,0,treat2,15,male,red,red,1
0,0,treat3,1,couple,red,blue,1
0,0,ctrl,1,couple,blue,red,1
0,0,treat1,1,male,red,red,1
0,0,ctrl,10,male,blue,blue,0
0,0,ctrl,21,female,blue,red,0
0,0,ctrl,1,male,red,blue,1
0,0,ctrl,7,male,red,blue,0
0,0,ctrl,1,male,blue,blue,1
0,0,ctrl,1,male,red,red,0
0,0,treat1,1,male,red,blue,1
0,0,treat1,14,female,red,blue,1
0,0,treat1,9,male,red,red,0
0,0,ctrl,6,female,red,red,1
0,0,treat1,3,female,blue,blue,1
0,0,ctrl,5,female,blue,red,0
0,0,treat2,6,male,blue,red,1
0,0,treat2,5,male,blue,blue,1
0,0,treat1,7,male,red,blue,1
0,0,treat2,7,female,red,red,1
0,0,treat3,4,male,blue,red,0
0,0,treat2,11,male,blue,blue,0
0,0,treat2,1,female,blue,red,1
0,0,treat1,7,male,red,red,0
0,0,ctrl,1,male,red,red,1
0,0,treat2,1,male,blue,red,1
0,0,treat1,7,female,red,red,0
0,0,ctrl,2,male,red,red,0
0,0,treat1,6,female,blue,blue,0
0,0,treat1,10,male,blue,red,1
0,0,treat2,1,couple,blue,red,1
0,0,ctrl,7,male,blue,blue,0
0,0,treat2,1,female,red,blue,1
0,0,treat2,9,male,blue,red,1
0,0,treat3,3,male,blue,blue,0
0,0,treat3,13,male,blue,red,0
0,0,treat1,6,male,blue,red,0
0,0,treat2,3,male,blue,red,0
0,0,treat3,1,female,blue,blue,0
0,0,ctrl,2,male,blue,red,1
0,0,treat1,4,male,blue,red,0
0,0,ctrl,1,male,red,blue,0
0,0,treat2,6,female,red,red,1
0,0,treat2,4,male,red,red,0
0,0,ctrl,9,female,blue,blue,0
0,0,treat3,34,female,blue,blue,1
