period,zip,income,ad,mm,bkd
0,1,9462,0,0,1
1,1,8657,0,0,1
0,1,22393,0,0,1
1,1,19461,0,0,0
0,1,5601,0,0,1
1,1,5497,0,0,0
0,1,16060,0,0,1
1,1,24054,0,0,0
0,1,9968,0,0,0
1,1,NA,1,0,1
0,1,16608,0,0,1
1,1,6048,1,0,0
0,1,15688,0,0,0
1,1,3605,0,0,0
0,1,46749,0,0,0
1,1,80816,0,0,1
0,1,7726,0,0,0
1,1,3926,0,0,0
0,1,19717,0,0,0
1,1,9745,0,0,1
0,1,123148,0,0,0
1,1,10725,0,0,0
0,1,22232,0,0,0
1,1,11470,1,0,0
0,1,5304,0,0,0
1,1,13471,0,0,0
0,1,NA,0,0,1
1,1,48295,0,0,0
0,1,13001,0,0,0
1,1,97943,0,0,0
0,1,17944,0,0,0
1,1,5484,0,0,1
0,1,20543,0,0,0
1,1,4383,1,0,1
0,1,3184,0,0,0
1,1,14928,0,0,1
0,1,7160,0,0,1
1,1,11166,1,0,0
0,1,12014,0,0,0
1,1,6186,0,0,0
0,1,6316,0,0,0
1,1,9743,0,0,1
0,1,36229,0,0,1
1,1,2431,0,0,0
0,1,20201,0,0,1
1,1,15560,0,0,0
0,1,NA,0,0,0
1,1,8228,0,0,0
0,1,16148,0,0,1
1,1,14569,0,0,0
0,1,6483,0,0,0
1,1,37324,0,0,0
0,1,35594,0,0,1
1,1,22466,0,0,0
0,1,NA,0,0,0
1,1,19497,1,0,0
0,1,3112,0,0,0
1,1,6287,0,1,0
0,1,3278,0,0,1
1,1,6947,0,0,0
0,1,5998,0,0,0
1,1,11633,0,0,1
0,1,4485,0,0,0
1,1,13063,0,0,1
0,1,5796,0,0,0
1,1,65304,0,0,1
0,1,22839,0,0,1
1,1,27714,0,0,0
0,1,16378,0,0,0
1,1,59976,0,0,1
0,1,5906,0,0,0
1,1,7030,0,0,1
0,1,46714,0,0,0
1,1,5819,0,0,1
0,1,9065,0,0,0
1,1,7531,0,0,0
0,1,8099,0,0,0
1,1,8437,0,0,1
0,1,18283,0,0,0
1,1,9341,0,0,1
0,1,6725,0,0,0
1,1,42726,0,0,0
0,1,9000,0,0,0
1,1,9320,0,0,1
0,1,10090,0,0,0
1,1,22747,0,0,1
0,1,10363,0,0,0
1,1,10742,1,0,0
0,1,5641,0,0,0
1,1,8065,1,0,0
0,1,11845,0,0,0
1,1,6190,1,0,1
0,1,18978,0,0,0
1,1,2443,0,0,0
0,1,15155,0,0,0
1,1,2400,0,0,1
0,1,8255,0,0,0
1,1,6576,0,0,1
0,1,5811,0,0,0
1,1,10537,0,0,0
0,1,1644,0,0,0
1,1,36175,0,0,0
0,1,2110,0,0,0
1,1,7016,0,1,0
0,1,3654,0,0,0
1,1,5264,0,0,0
0,1,NA,0,0,1
1,1,11349,0,0,0
0,1,3082,0,0,1
1,1,2162,0,0,1
0,1,17496,0,0,0
1,1,10949,0,0,1
0,1,8115,0,0,1
1,1,4404,0,0,0
0,1,2520,0,0,0
1,1,NA,1,0,0
0,1,30320,0,0,0
1,1,5992,1,0,0
0,1,2794,0,0,0
1,1,72317,0,0,1
0,1,17062,0,0,1
1,1,8786,0,0,0
0,1,32145,0,0,0
1,1,27064,1,0,1
0,1,6005,0,0,0
1,1,101278,0,0,0
0,1,8643,0,0,1
1,1,2684,0,0,0
0,1,9654,0,0,0
1,1,13726,0,0,0
0,1,112140,0,0,1
1,1,12398,1,0,0
0,1,NA,0,0,1
1,1,10326,0,0,0
0,1,7987,0,0,0
1,1,10773,0,0,1
0,1,24518,0,0,0
1,1,88856,0,0,1
0,1,31161,0,0,0
1,1,37326,0,0,0
0,1,3256,0,0,0
1,1,29835,0,0,0
0,1,13897,0,0,0
1,1,2572,0,0,0
0,1,18780,0,0,0
1,1,9516,0,0,0
0,1,48248,0,0,0
1,1,5185,0,0,1
0,1,7254,0,0,0
1,1,4418,0,0,0
0,1,9343,0,0,0
1,1,16673,0,0,0
0,1,5366,0,0,0
1,1,25589,0,0,0
0,1,3332,0,0,0
1,1,3911,1,0,1
0,1,47131,0,0,0
1,1,4039,1,0,1
0,1,16840,0,0,0
